"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR28987","1. Seizure","Mexico","2020-04-01 00:00:00","42.42 kg of crocodile skins seized at San Luis Potosí International Airport","https://www.gob.mx/profepa/prensa/presenta-profepa-denuncia-penal-por-intento-de-trafico-ilegal-de-pieles-de-cocodrilo-y-cactaceas-en-aeropuerto-de-san-luis-potosi?idiom=es","Government Agency (Other)","https://www.mexicoambiental.com/descubren-trafico-ilegal-de-pieles-de-cocodrilo-y-cactaceas-en-aeropuerto-de-san-luis-potosi/","C4ADS Air Seizures Database","Air","In Postal Parcel (at postal depot or sorting office)","","Found in two boxes","","Confiscation","","","","","","","","",""
"MOR28991","1. Seizure","Mexico","2020-04-01 00:00:00","1 African lion cub seized at Oaxaca International Airport","https://www.gob.mx/profepa/prensa/profepa-emite-peritaje-por-la-posesion-de-un-ejemplar-de-leon-africano-en-el-aeropuerto-internacional-de-oaxaca-239998?idiom=es","Government Agency (Other)","https://ananova.news/tiny-lion-cub-rescued-from-wooden-box-in-airport/","C4ADS Air Seizures Database","Air","","","Found in a box.","","Confiscation","","","","","","","","",""
"MOR28999","1. Seizure","Mexico","2020-04-16 00:00:00","1 Californian king snake seized at Ciudad Juárez Airport","https://www.gob.mx/profepa/prensa/rescata-profepa-serpiente-rey-de-california-en-aeropuerto-de-ciudad-juarez?idiom=es","Government Agency (Other)","","C4ADS Air Seizures Database","Air","In Premises (either domestic or business)","","","","Confiscation","","","","","","","","",""
"MOR29000","1. Seizure","Mexico","2020-04-17 00:00:00","16 bird claws and complete foot seized at Ciudad Juárez International Airport","https://www.gob.mx/profepa/prensa/asegura-profepa-productos-de-vida-silvestre-detectados-en-el-aeropuerto-de-ciudad-juarez?idiom=es","Government Agency (Other)","","C4ADS Air Seizures Database","Air","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR29003","1. Seizure","United States of America","2018-01-01 00:00:00","13 ivory items seized during operation in New York state - 1 convicted","https://www.whec.com/news/brighton-woman-pleads-guilty-to-selling-elephant-ivory/5588822/","Media","","Environmental Investigation Agency (EIA)","","","","","","Conviction - court fine","1","1","1","","8300","USD US Dollar","8300","",""
"MOR29220","1. Seizure","United States of America","2020-07-01 00:00:00","1 canine skull, 1 sheep skull, various other bones, unknown mammal skins seized at the George Bush Intercontinental Airport","https://ajot.com/news/cbp-intercepts-animal-skulls-bones-skins","Media","","","Air","In Freight (as on plane)","Amongst other goods","The shipment was manifested as clothing items.","Routine Inspection","Confiscation","","","","","","","","",""
"MOR29242","9. Enforcement Action / Prosecution","United States of America","2009-02-01 00:00:00","Suspect pleads guilty to smuggling tortoises into the US","https://www.dailydemocrat.com/2009/03/17/chico-man-pleads-guilty-in-tortoise-smuggling-conspiracy/","Media","http://archive.vcstar.com/news/chico-man-sentenced-for-smuggling-wild-tortoises-ep-371904460-350870421.html/","","","In Postal Parcel (at postal depot or sorting office)","","Smith allegedly purchased the tortoises through e-mail transactions.","","Conviction - court fine","1","1","1","","2000","USD US Dollar","2000","",""
"MOR29264","1. Seizure","United States of America","2014-04-19 00:00:00","Bengal tiger cub seized in Los Angeles","http://www.natureworldnews.com/articles/6773/20140426/authorities-seize-rapper-tygas-pet-tiger.htm","Media","","","","In Premises (either domestic or business)","","Tiger was being kept at the suspects house.","","Confiscation","","","","","","","","",""
"MOR29282","9. Enforcement Action / Prosecution","United States of America","2014-08-01 00:00:00","Hong Kong turtle smuggler arrested in Orlando for smuggling turtles from US to Asia","https://www.nola.com/news/article_2ea06b1f-b07a-5b1f-baa7-056bd2a21843.html","Media","https://www.justice.gov/usao-edla/pr/hong-kong-man-pleads-guilty-conspiracy-smuggle-turtles-out-united-states-and-violation
http://www.nola.com/crime/index.ssf/2015/04/covington_turtle_smuggler_slap.html","","","In Postal Parcel (at postal depot or sorting office)","","","","Conviction","2","2","","1","","","","15","Months"
"MOR29299","1. Seizure","Canada","2014-06-01 00:00:00","Bear parts seized from a restaurant in Manitoba - 1 convicted","http://www.winnipegfreepress.com/local/eatery-owner-caught-with-bear-parts-288648991.html","Media","","","","In Premises (either domestic or business)","","Goods were seized from the restaurant","Intelligence","Conviction - court fine & imprisonment","1","1","1","","7000","CAD Canadian Dollar","6567.04","",""
"MOR29350","1. Seizure","Mexico","2019-11-02 00:00:00","541 seahorses seized in Mexico City","Robin des Bois On the Trail No.27 pg5","NGO","","","","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR29479","1. Seizure","China","2019-07-01 00:00:00","Rosewood furniture seized in China, coming from US","http://www.customs.gov.cn/customs/xwfb34/302425/2541513/index.html","Customs","","","","","","","","Confiscation","","","","","","","","",""
"MOR2950","1. Seizure","Hong Kong","2014-11-26 00:00:00","92,000 kg Honduras Rosewood seized at Kwai Chung Customhouse Cargo Examination Compound","http://www.info.gov.hk/gia/general/201412/17/P201412170415.htm","Government Agency (Other)","","","Sea","In Container (as on ship)","Other","Found in four containers. Shipment was declared as 'rubber waste'.","Investigation","Charged - Bail granted","2","2","","","","","","",""
"MOR2959","1. Seizure","South Africa","2014-01-29 00:00:00","1,600 reptiles and amphibians seized at O.R. Tambo Airport","http://www.bbc.com/news/world-africa-25877368","Media","","","Air","In Freight (as on plane)","","Air cargo, in plastic tubs and muslin bags in crates. The shipment was detected due to the smell.","Routine Inspection","Confiscation","","","","","","","","",""
"MOR29716","1. Seizure","United States of America","2019-11-01 00:00:00","1,432 pieces of turtle shells seized at Miami International Airport","https://www.miamiherald.com/news/local/environment/article244900152.html","Media","https://patch.com/florida/miami/endangered-sea-turtle-shells-seized-miami-international","","Air","In Freight (as on plane)","Appearance modified","The turtle scutes had been pained with a chalk-like blue paint and the cargo was declared to contain 'plastic recycle'.","","Confiscation","","","","","","","","",""
"MOR2997","1. Seizure","United States of America","2003-06-28 00:00:00","Over 200 rare turtles, tortoises and lizards seized at Orlando International Airport - 2 charged","Sentinel, The Atlanta Journal-Constitution","Media","https://www.ocala.com/article/LK/20030702/News/604242868/OS/","","Air","In Postal Parcel (at postal depot or sorting office)","","","","Conviction","2","2","","2","","","","74","Months"
"MOR3000","1. Seizure","United States of America","2004-05-01 00:00:00","10 pig-nosed turtles seized in Williamstown, Pennsylvania coming from Singapore","Herpdigest.org news item by Allen Salzberg/Volume # 4 Issue # 36","Social Network Site","","","Air","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR30064","1. Seizure","Mexico","2014-08-01 00:00:00","193 pieces (17.887 m3) of Dalbergia seized at Manzanillo Port","https://www.colimanoticias.com/incautan-madera-ilegal-en-la-aduana-de-manzanillo/","Media","","","Sea","In Container (as on ship)","","Goods were seized for not having the corresponding permit issued by the Ministry of Environment and Natural Resources (SEMARNAT).","","Confiscation","","","","","","","","",""
"MOR30065","1. Seizure","Mexico","2018-03-04 00:00:00","26 m3 of Dalbergia seized at Port of Lázaro Cárdenas, Michoacán","https://www.gob.mx/profepa/prensa/profepa-asegura-mas-de-26-m3-de-madera-dalbergia-en-peligro-de-extincion-con-destino-a-china-en-el-puerto-de-lazaro-cardenas-michoacan","Government Agency (Other)","","","Sea","In Container (as on ship)","","The export did not have a CITES permit. In addition the volume decalared on the shipment was 20,000 m3, and actual quantity was 26,2093 m3.","Routine Inspection","Confiscation","","","","","","","","",""
"MOR30269","1. Seizure","Mexico","2020-03-11 00:00:00","12 Green Macaw seized at Mazatlán International Airport","https://www.gob.mx/profepa/prensa/aseguro-profepa-12-ejemplares-de-guacamaya-verde-abandonados-en-el-aeropuerto-de-mazatlan?idiom=es","Media","","C4ADS Air Seizures Database","Air","In Freight (as on plane)","","Concealed inside wooden boxes. No documentation","","Confiscation","","","","","","","","",""
"MOR30270","1. Seizure","Mexico","2020-05-01 00:00:00","1 Leopard gecko and 1 ball python seized at Ponciano Arriaga International Airport","https://www.elsoldesanluis.com.mx/local/incautan-ejemplares-de-fauna-en-el-aeropuerto-5264623.html","Media","","C4ADS Air Seizures Database","Air","","","Transferred by courier","","Confiscation","","","","","","","","",""
"MOR30271","1. Seizure","Mexico","2020-05-15 00:00:00","34 crocodile skin pieces seized at Ponciano Arriaga International Airport","https://www.elsoldesanluis.com.mx/local/incautan-ejemplares-de-fauna-en-el-aeropuerto-5264623.html","Media","https://www.gob.mx/profepa/prensa/asegura-profepa-ejemplares-vivos-partes-y-derivados-de-vida-silvestre-en-el-aeropuerto-internacional-de-s-l-p?idiom=es","C4ADS Air Seizures Database","Air","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR30272","1. Seizure","Mexico","2020-05-15 00:00:00","4 abronia lizards seized at Ponciano Arriaga International Airport","https://www.elsoldesanluis.com.mx/local/incautan-ejemplares-de-fauna-en-el-aeropuerto-5264623.html","Media","https://www.gob.mx/profepa/prensa/asegura-profepa-ejemplares-vivos-partes-y-derivados-de-vida-silvestre-en-el-aeropuerto-internacional-de-s-l-p?idiom=es","C4ADS Air Seizures Database","Air","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR30273","1. Seizure","Mexico","2020-05-06 00:00:00","10 Leopard geckos seized at San Luis Potosí International Airport","https://www.gob.mx/profepa/prensa/asegura-profepa-diez-geckos-en-s-l-p-pretendian-ser-comercializados-de-manera-ilegal?idiom=es","Government Agency (Other)","","C4ADS Air Seizures Database","Air","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR30277","1. Seizure","Mexico","2020-05-12 00:00:00","15,053 turtles seized at Mexico City Airport","https://www.gob.mx/profepa/prensa/profepa-asegura-precautoriamente-mas-de-15-mil-tortugas-que-pretendian-exportarse-de-manera-ilegal-a-china?idiom=es","Government Agency (Other)","","C4ADS Air Seizures Database","Air","In Freight (as on plane)","","Turtles found in 158 wooden crates","","Confiscation","","","","","","","","",""
"MOR30282","1. Seizure","Hong Kong","2020-06-04 00:00:00","160 kg totoaba swim bladders seized at Hong Kong International Airport - 5 arrested","https://www.customs.gov.hk/en/publication_press/press/index_id_2940.html","Customs","https://www.thestandard.com.hk/breaking-news/section/4/148685/Five-nabbed-in-record-seizure-of-endangered-totoaba-bladder","C4ADS Air Seizures Database","Air","In Freight (as on plane)","","Found inside 20 styrofoam boxes","Risk Assessment","Confiscation & arrest","5","","","","","","","",""
"MOR30286","1. Seizure","Mexico","2020-06-01 00:00:00","1 live Emerald boa seized at Monterrey International Airport","https://www.gob.mx/profepa/prensa/profepa-rescata-ejemplar-de-vida-silvestre-abandonado-en-el-aeropuerto-internacional-de-monterrey?idiom=es","Government Agency (Other)","","C4ADS Air Seizures Database","Air","In Postal Parcel (at postal depot or sorting office)","","","Intelligence","Confiscation","","","","","","","","",""
"MOR30301","1. Seizure","Mexico","2020-07-01 00:00:00","42 totoaba swim bladders and 27 sea cucumber seized at Querétaro Intercontinental Airport","https://www.contrareplica.mx/nota-Guardias-nacionales-aseguran-envio-de-buche-de-totoaba-y-pepino-de-mar-con-destino-a-Tamaulipas20203717","Media","","C4ADS Air Seizures Database","Air","","","Concealed inside cardboard box","X-ray","Confiscation","","","","","","","","",""
